OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Region,Category,Product,Quantity,UnitPrice,Discount,Sales,Profit,Sales_Outlier,Quantity_Outlier,Sales_Validation_Flag,OrderMonth,ShippingDays,ProfitMargin
ORD-10001,2024-07-09,2024-07-15,Same Day,CUST-0014,Customer 14,West,Office Supplies,Binder,8.0,322.71,0.3,1807.18,-187.33,False,False,False,2024-07,6,-0.1037
ORD-10002,2024-03-11,2024-03-17,Second Class,CUST-0032,Customer 32,North,Office Supplies,Binder,1.0,1083.61,0.0,1083.61,465.06,False,False,False,2024-03,6,0.4292
ORD-10003,2025-04-29,2025-05-03,Second Class,CUST-0181,Customer 181,West,Technology,Printer,2.0,1028.65,0.1,1851.57,304.87,False,False,False,2025-04,4,0.1647
ORD-10004,2025-04-19,2025-04-21,Second Class,CUST-0079,Customer 79,East,Furniture,Bookcase,2.0,105.91,0.0,211.82,102.82,False,False,False,2025-04,2,0.4854
ORD-10005,2024-08-06,2024-08-13,Same Day,CUST-0118,Customer 118,North,Furniture,Bookcase,2.0,128.57,0.0,257.14,113.22,False,False,False,2024-08,7,0.4403
ORD-10006,2025-03-07,2025-03-11,Same Day,CUST-0005,Customer 5,South,Technology,Monitor,7.0,32.25,0.3,158.02,7.04,False,False,False,2025-03,4,0.0446
ORD-10007,2025-01-30,2025-02-03,Same Day,CUST-0033,Customer 33,North,Furniture,Desk,6.0,591.39,0.2,2838.67,354.46,False,False,False,2025-01,4,0.1249
ORD-10008,2025-01-15,2025-01-16,Same Day,CUST-0023,Customer 23,North,Office Supplies,Binder,6.0,529.5,0.0,3177.0,669.7,False,False,False,2025-01,1,0.2108
ORD-10009,2024-06-27,2024-07-02,First Class,CUST-0088,Customer 88,South,Furniture,Desk,7.0,134.75,0.1,848.93,284.46,False,False,False,2024-06,5,0.3351
ORD-10010,2024-03-19,2024-03-20,First Class,CUST-0078,Customer 78,North,Office Supplies,Pens (Box),4.0,1099.63,0.0,4398.52,2141.66,False,False,False,2024-03,1,0.4869
ORD-10011,2025-04-08,2025-04-11,First Class,CUST-0055,Customer 55,South,Technology,Monitor,10.0,970.86,0.0,9708.6,1616.34,False,False,False,2025-04,3,0.1665
ORD-10012,2025-11-14,2025-11-21,Same Day,CUST-0008,Customer 8,East,Office Supplies,Binder,11.0,201.71,0.0,2218.81,771.52,False,False,False,2025-11,7,0.3477
ORD-10013,2024-12-08,2024-12-11,Standard Class,CUST-0004,Customer 4,South,Office Supplies,Paper,9.0,1069.5,0.15,8181.68,1620.94,False,False,False,2024-12,3,0.1981
ORD-10014,2024-09-29,2024-09-30,Same Day,CUST-0190,Customer 190,South,Technology,Printer,5.0,117.89,0.1,530.51,181.64,False,False,False,2024-09,1,0.3424
ORD-10015,2024-09-25,2024-09-30,First Class,CUST-0083,Customer 83,North,Furniture,Chair,2.0,998.18,0.0,1996.36,872.92,False,False,False,2024-09,5,0.4373
ORD-10016,2024-08-14,2024-08-18,Standard Class,CUST-0157,Customer 157,North,Furniture,Chair,4.0,934.0,0.3,2615.2,92.43,False,False,False,2024-08,4,0.0353
ORD-10017,2024-08-04,2024-08-08,Same Day,CUST-0050,Customer 50,West,Furniture,Chair,3.0,162.53,0.1,438.83,174.24,False,False,False,2024-08,4,0.3971
ORD-10018,2024-05-25,2024-05-31,Standard Class,CUST-0186,Customer 186,South,Office Supplies,Stapler,5.0,965.93,0.1,4346.68,682.69,False,False,False,2024-05,6,0.1571
ORD-10019,2025-01-06,2025-01-11,Second Class,CUST-0098,Customer 98,East,Furniture,Bookcase,11.0,480.11,0.0,5281.21,1737.49,False,False,False,2025-01,5,0.329
ORD-10020,2025-11-06,2025-11-12,Standard Class,CUST-0136,Customer 136,South,Technology,Monitor,11.0,34.71,0.0,381.81,106.18,False,False,False,2025-11,6,0.2781
