OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Region,Category,Product,Quantity,UnitPrice,Discount,Sales,Profit
ORD-10001,2024-07-09,2024-07-15,Same Day,CUST-0014,Customer 14,west,Office Supplies,Binder,8.0,322.71,0.3,1807.18,-187.33
ORD-10002,2024-03-11,2024-03-17,Second Class,CUST-0032,Customer 32,North,Office Supplies,Binder,1.0,1083.61,0.0,1083.61,465.06
ORD-10003,2025-04-29,2025-05-03,Second Class,CUST-0181,Customer 181,West,Technology,Printer,2.0,1028.65,0.1,1851.57,304.87
ORD-10004,19/04/2025,2025-04-21,Second Class,CUST-0079,Customer 79,East,Furniture,Bookcase,2.0,105.91,0.0,211.82,102.82
ORD-10005,2024-08-06,2024-08-13,Same Day,CUST-0118,Customer 118,North,Furniture,Bookcase,2.0,128.57,0.0,257.14,113.22
ORD-10006,2025-03-07,2025-03-11,Same Day,CUST-0005,Customer 5,South,Technology,Monitor,7.0,32.25,0.3,158.02,7.04
ORD-10007,2025-01-30,2025-02-03,Same Day,CUST-0033,Customer 33,North,Furniture,Desk,6.0,591.39,0.2,2838.67,354.46
ORD-10008,2025-01-15,2025-01-16,Same Day,CUST-0023,Customer 23,North,Office Supplies,Binder,6.0,529.5,0.0,3177.0,669.7
ORD-10009,2024-06-27,2024-07-02,First Class,CUST-0088,Customer 88,South,Furniture,Desk,7.0,134.75,0.1,848.93,284.46
ORD-10010,2024-03-19,2024-03-20,First Class,CUST-0078,  Customer 78  ,north,Office Supplies,Pens (Box),4.0,1099.63,0.0,4398.52,2141.66
ORD-10011,2025-04-08,2025-04-11,First Class,CUST-0055,Customer 55,South,Technology,Monitor,10.0,970.86,0.0,9708.6,1616.34
ORD-10012,2025-11-14,2025-11-21,Same Day,CUST-0008,  Customer 8  ,east,OFFICE SUPPLIES,Binder,11.0,201.71,0.0,2218.81,771.52
ORD-10013,2024-12-08,2024-12-11,Standard Class,CUST-0004,Customer 4,south,Office Supplies,Paper,9.0,1069.5,0.15,8181.68,1620.94
ORD-10014,2024-09-29,2024-09-30,Same Day,CUST-0190,Customer 190,south,TECHNOLOGY,Printer,5.0,117.89,0.1,530.51,181.64
ORD-10015,2024-09-25,2024-09-30,First Class,CUST-0083,Customer 83,north,Furniture,Chair,2.0,998.18,0.0,1996.36,872.92
ORD-10016,2024-08-14,2024-08-18,Standard Class,CUST-0157,Customer 157,North,Furniture,Chair,4.0,934.0,0.3,2615.2,92.43
ORD-10017,2024-08-04,2024-08-08,Same Day,CUST-0050,Customer 50,West,Furniture,Chair,3.0,162.53,0.1,438.83,174.24
ORD-10018,25/05/2024,2024-05-31,Standard Class,CUST-0186,Customer 186,South,Office Supplies,Stapler,5.0,965.93,0.1,4346.68,682.69
ORD-10019,2025-01-06,2025-01-11,Second Class,CUST-0098,Customer 98,East,Furniture,Bookcase,11.0,480.11,0.0,5281.21,1737.49
ORD-10020,2025-11-06,2025-11-12,Standard Class,CUST-0136,Customer 136,South,Technology,Monitor,11.0,34.71,0.0,381.81,106.18
ORD-10021,2025-06-22,2025-06-28,Second Class,CUST-0130,Customer 130,East,Furniture,Bookcase,5.0,1159.65,0.0,5798.25,1005.66
ORD-10022,2024-01-14,2024-01-18,Standard Class,CUST-0194,Customer 194,South,TECHNOLOGY,Wireless Mouse,10.0,135.43,0.15,1151.16,96.31
ORD-10023,2024-03-27,2024-03-30,Same Day,CUST-0076,Customer 76,South,Technology,Wireless Mouse,7.0,1041.95,0.0,7293.65,2593.62
ORD-10024,2025-09-25,2025-10-02,First Class,CUST-0156,Customer 156,East,Furniture,Bookcase,11.0,547.41,0.0,6021.51,2511.98
ORD-10025,2024-05-20,2024-05-26,Second Class,CUST-0045,Customer 45,North,Office Supplies,Pens (Box),2.0,84.54,0.0,169.08,75.89
ORD-10026,2025-11-03,2025-11-07,Standard Class,CUST-0115,Customer 115,East,Office Supplies,Paper,11.0,202.81,0.0,2230.91,995.51
ORD-10027,2025-01-11,2025-01-16,Same Day,CUST-0098,  Customer 98  ,East,Furniture,Bookcase,1.0,213.7,0.0,213.7,62.64
ORD-10028,2025-01-03,2025-01-07,Standard Class,CUST-0178,Customer 178,North,Office Supplies,Binder,11.0,1050.63,0.15,9823.39,3869.07
ORD-10029,2024-01-06,2024-01-09,Same Day,CUST-0084,Customer 84,West,Furniture,Chair,3.0,687.62,0.0,2062.86,995.87
ORD-10030,2025-08-31,2025-09-06,Same Day,CUST-0108,Customer 108,east,Office Supplies,Paper,2.0,67.09,0.2,107.34,35.6
ORD-10031,2025-03-25,2025-03-31,First Class,CUST-0042,Customer 42,West,Office Supplies,Paper,11.0,963.42,0.1,9537.86,1855.97
ORD-10032,2025-01-10,2025-01-15,First Class,CUST-0038,  Customer 38  ,West,Office Supplies,Stapler,4.0,1029.8,0.0,4119.2,1504.41
ORD-10033,2024-09-03,2024-09-06,First Class,CUST-0140,Customer 140,South,Furniture,Chair,2.0,576.06,0.0,1152.12,482.28
ORD-10034,2024-10-04,2024-10-09,Same Day,CUST-0052,Customer 52,North,OFFICE SUPPLIES,Binder,5.0,824.46,0.0,4122.3,692.13
ORD-10035,2024-05-27,2024-06-02,First Class,CUST-0137,Customer 137,east,Technology,Wireless Mouse,4.0,644.84,0.15,2192.46,313.64
ORD-10036,2024-07-29,2024-08-02,Same Day,CUST-0031,Customer 31,South,Office Supplies,Stapler,1.0,883.2,0.0,883.2,226.82
ORD-10037,16/01/2025,2025-01-23,First Class,CUST-0044,Customer 44,south,Furniture,Table Lamp,7.0,118.64,0.1,747.43,307.63
ORD-10038,2025-08-07,2025-08-14,Same Day,CUST-0113,  Customer 113  ,East,Office Supplies,Pens (Box),2.0,714.45,0.1,1286.01,173.91
ORD-10039,2024-04-04,2024-04-08,Standard Class,CUST-0098,Customer 98,East,Furniture,Bookcase,7.0,118.58,0.0,830.06,365.27
ORD-10040,2025-01-16,2025-01-18,First Class,CUST-0052,Customer 52,North,Technology,Monitor,8.0,917.89,0.1,6608.81,1672.37
